date,day_of_week,shift,hour,hours_into_shift,station,headcount,units_processed,uph,target_uph,downtime_minutes,pod_starvation_event,peak_period
2026-03-02,Monday,Day,9,1,SLAM,13,11887,914.4,900,2.0,0,0
2026-03-02,Monday,Day,10,2,Stow,10,1777,177.7,180,1.5,0,0
2026-03-02,Monday,Day,10,2,Pick,13,3034,233.4,240,2.0,0,0
2026-03-02,Monday,Day,10,2,Rebin,11,3272,297.5,300,2.4,0,0
2026-03-02,Monday,Day,10,2,Pack-Singles,8,1527,190.9,210,0.0,0,0
2026-03-02,Monday,Day,10,2,Pack-Multis,7,933,133.3,140,2.3,0,0
2026-03-02,Monday,Day,10,2,SLAM,11,10037,912.5,900,2.8,0,0
2026-03-02,Monday,Day,11,3,Stow,14,2507,179.1,180,3.2,0,0
2026-03-02,Monday,Day,11,3,Pick,12,2711,225.9,240,0.3,0,0
2026-03-02,Monday,Day,11,3,Rebin,9,2532,281.3,300,0.7,0,0
2026-03-02,Monday,Day,11,3,Pack-Singles,13,3058,235.2,210,0.0,0,0
2026-03-02,Monday,Day,11,3,Pack-Multis,12,1557,129.8,140,1.9,0,0
2026-03-02,Monday,Day,11,3,SLAM,11,8631,784.6,900,2.6,0,0
2026-03-02,Monday,Day,12,4,Stow,10,1732,173.2,180,0.0,0,0
2026-03-02,Monday,Day,12,4,Pick,10,2471,247.1,240,0.9,0,0
2026-03-02,Monday,Day,12,4,Rebin,12,3691,307.6,300,3.2,0,0
2026-03-02,Monday,Day,12,4,Pack-Singles,11,2071,188.3,210,2.8,0,0
2026-03-02,Monday,Day,12,4,Pack-Multis,11,1660,150.9,140,1.8,0,0
2026-03-02,Monday,Day,12,4,SLAM,11,10141,921.9,900,4.1,0,0
2026-03-02,Monday,Day,13,5,Stow,16,2893,180.8,180,1.4,0,0
2026-03-02,Monday,Day,13,5,Pick,14,3161,225.8,240,1.7,0,0
2026-03-02,Monday,Day,13,5,Rebin,11,3372,306.5,300,0.0,0,0
2026-03-02,Monday,Day,13,5,Pack-Singles,8,1436,179.5,210,0.0,0,0
2026-03-02,Monday,Day,13,5,Pack-Multis,11,1508,137.1,140,4.1,0,0
2026-03-02,Monday,Day,13,5,SLAM,14,11751,839.4,900,1.7,0,0
2026-03-02,Monday,Day,14,6,Stow,11,1940,176.4,180,1.5,0,0
2026-03-02,Monday,Day,14,6,Pick,13,3045,234.2,240,2.8,0,0
2026-03-02,Monday,Day,14,6,Rebin,9,2701,300.1,300,5.1,0,0
2026-03-02,Monday,Day,14,6,Pack-Singles,12,2772,231.0,210,1.3,0,0
2026-03-02,Monday,Day,14,6,Pack-Multis,13,1812,139.4,140,0.9,0,0
2026-03-02,Monday,Day,14,6,SLAM,10,9271,927.1,900,0.0,0,0
2026-03-02,Monday,Day,15,7,Stow,13,2467,189.8,180,1.7,0,0
2026-03-02,Monday,Day,15,7,Pick,11,2669,242.6,240,0.7,0,0
2026-03-02,Monday,Day,15,7,Rebin,13,3332,256.3,300,0.7,0,0
2026-03-02,Monday,Day,15,7,Pack-Singles,8,1474,184.2,210,3.2,0,0
2026-03-02,Monday,Day,15,7,Pack-Multis,13,1693,130.2,140,0.0,0,0
2026-03-02,Monday,Day,15,7,SLAM,6,5090,848.3,900,4.8,0,0
2026-03-02,Monday,Day,16,8,Stow,12,1992,166.0,180,1.9,0,0
2026-03-02,Monday,Day,16,8,Pick,8,1804,225.5,240,1.3,0,0
2026-03-02,Monday,Day,16,8,Rebin,11,3343,303.9,300,1.7,0,0
2026-03-02,Monday,Day,16,8,Pack-Singles,13,2494,191.8,210,2.5,0,0
2026-03-02,Monday,Day,16,8,Pack-Multis,15,1879,125.3,140,0.0,0,0
2026-03-02,Monday,Day,16,8,SLAM,14,11933,852.4,900,3.3,0,0
2026-03-02,Monday,Day,17,9,Stow,11,2050,186.4,180,1.4,0,0
2026-03-02,Monday,Day,17,9,Pick,12,3003,250.2,240,0.7,0,0
2026-03-02,Monday,Day,17,9,Rebin,10,2731,273.1,300,1.9,0,0
2026-03-02,Monday,Day,17,9,Pack-Singles,8,1649,206.1,210,0.4,0,0
2026-03-02,Monday,Day,17,9,Pack-Multis,14,1533,109.5,140,0.0,0,0
2026-03-02,Monday,Day,17,9,SLAM,8,6376,797.0,900,1.6,0,0
2026-03-02,Monday,Night,19,0,Stow,11,1820,165.5,180,1.5,0,0
2026-03-02,Monday,Night,19,0,Pick,9,2108,234.2,240,2.2,0,0
2026-03-02,Monday,Night,19,0,Rebin,12,3478,289.8,300,1.6,0,0
2026-03-02,Monday,Night,19,0,Pack-Singles,16,3105,194.1,210,0.7,0,0
2026-03-02,Monday,Night,19,0,Pack-Multis,10,1207,120.7,140,0.0,0,0
2026-03-02,Monday,Night,19,0,SLAM,10,8328,832.8,900,1.7,0,0
2026-03-02,Monday,Night,20,1,Stow,12,1901,158.4,180,2.6,0,0
2026-03-02,Monday,Night,20,1,Pick,13,2869,220.7,240,0.2,0,0
2026-03-02,Monday,Night,20,1,Rebin,13,3674,282.6,300,0.0,0,0
2026-03-02,Monday,Night,20,1,Pack-Singles,11,2187,198.8,210,0.0,0,0
2026-03-02,Monday,Night,20,1,Pack-Multis,12,1403,116.9,140,3.2,0,0
2026-03-02,Monday,Night,20,1,SLAM,14,11510,822.1,900,1.7,0,0
2026-03-02,Monday,Night,21,2,Stow,7,1076,153.7,180,0.8,0,0
2026-03-02,Monday,Night,21,2,Pick,9,2109,234.3,240,4.2,0,0
2026-03-02,Monday,Night,21,2,Rebin,9,2363,262.6,300,1.6,0,0
2026-03-02,Monday,Night,21,2,Pack-Singles,15,2678,178.5,210,1.6,0,0
2026-03-02,Monday,Night,21,2,Pack-Multis,15,1727,115.1,140,0.0,0,0
2026-03-02,Monday,Night,21,2,SLAM,11,8871,806.5,900,2.4,0,0
2026-03-02,Monday,Night,22,3,Stow,12,1759,146.6,180,2.0,0,0
2026-03-02,Monday,Night,22,3,Pick,10,2431,243.1,240,0.3,0,0
2026-03-02,Monday,Night,22,3,Rebin,10,2895,289.5,300,2.3,0,0
2026-03-02,Monday,Night,22,3,Pack-Singles,12,2067,172.2,210,2.0,0,0
2026-03-02,Monday,Night,22,3,Pack-Multis,9,1191,132.3,140,0.0,0,0
2026-03-02,Monday,Night,22,3,SLAM,12,9476,789.7,900,0.0,0,0
2026-03-02,Monday,Night,23,4,Stow,13,2213,170.2,180,0.3,0,0
2026-03-02,Monday,Night,23,4,Pick,14,3028,216.3,240,1.2,0,0
2026-03-02,Monday,Night,23,4,Rebin,12,3202,266.8,300,1.9,0,0
2026-03-02,Monday,Night,23,4,Pack-Singles,10,1896,189.6,210,3.2,0,0
2026-03-02,Monday,Night,23,4,Pack-Multis,9,973,108.1,140,3.6,0,0
2026-03-02,Monday,Night,23,4,SLAM,17,13825,813.2,900,0.0,0,0
2026-03-02,Monday,Night,0,5,Stow,11,1804,164.0,180,0.9,0,0
2026-03-02,Monday,Night,0,5,Pick,9,2090,232.2,240,2.0,0,0
2026-03-02,Monday,Night,0,5,Rebin,9,2633,292.6,300,4.3,0,0
2026-03-02,Monday,Night,0,5,Pack-Singles,12,2288,190.7,210,1.0,0,0
2026-03-02,Monday,Night,0,5,Pack-Multis,13,1487,114.4,140,1.4,0,0
2026-03-02,Monday,Night,0,5,SLAM,11,10397,945.2,900,0.9,0,0
2026-03-02,Monday,Night,1,6,Stow,15,2316,154.4,180,2.1,0,0
2026-03-02,Monday,Night,1,6,Pick,12,2515,209.6,240,1.5,0,0
2026-03-02,Monday,Night,1,6,Rebin,14,3817,272.6,300,0.0,0,0
2026-03-02,Monday,Night,1,6,Pack-Singles,11,2012,182.9,210,0.7,0,0
2026-03-02,Monday,Night,1,6,Pack-Multis,11,1261,114.6,140,0.0,0,0
2026-03-02,Monday,Night,1,6,SLAM,12,9676,806.3,900,0.0,0,0
2026-03-02,Monday,Night,2,7,Stow,13,2173,167.2,180,0.1,0,0
2026-03-02,Monday,Night,2,7,Pick,9,2083,231.4,240,1.7,0,0
2026-03-02,Monday,Night,2,7,Rebin,16,4503,281.4,300,1.8,0,0
2026-03-02,Monday,Night,2,7,Pack-Singles,11,2225,202.3,210,2.1,0,0
2026-03-02,Monday,Night,2,7,Pack-Multis,14,1721,122.9,140,0.5,0,0
2026-03-02,Monday,Night,2,7,SLAM,11,9522,865.6,900,3.4,0,0
2026-03-02,Monday,Night,3,8,Stow,11,1715,155.9,180,1.7,0,0
2026-03-02,Monday,Night,3,8,Pick,11,2514,228.5,240,0.0,0,0
2026-03-02,Monday,Night,3,8,Rebin,10,2531,253.1,300,0.0,0,0
2026-03-02,Monday,Night,3,8,Pack-Singles,10,1754,175.4,210,0.9,0,0
2026-03-02,Monday,Night,3,8,Pack-Multis,14,1719,122.8,140,0.0,0,0
2026-03-02,Monday,Night,3,8,SLAM,11,9487,862.5,900,0.0,0,0
2026-03-02,Monday,Night,4,9,Stow,10,1635,163.5,180,0.9,0,0
2026-03-02,Monday,Night,4,9,Pick,13,2724,209.5,240,2.3,0,0
2026-03-02,Monday,Night,4,9,Rebin,9,2358,262.0,300,0.9,0,0
2026-03-02,Monday,Night,4,9,Pack-Singles,9,1471,163.4,210,2.2,0,0
2026-03-02,Monday,Night,4,9,Pack-Multis,11,1249,113.5,140,1.1,0,0
2026-03-02,Monday,Night,4,9,SLAM,14,9256,661.1,900,0.0,0,0
2026-03-03,Tuesday,Day,8,0,Stow,14,2569,183.5,180,2.4,0,0
2026-03-03,Tuesday,Day,8,0,Pick,9,1990,221.1,240,1.9,0,0
2026-03-03,Tuesday,Day,8,0,Rebin,12,3738,311.5,300,0.9,0,0
2026-03-03,Tuesday,Day,8,0,Pack-Singles,12,2547,212.2,210,2.4,0,0
2026-03-03,Tuesday,Day,8,0,Pack-Multis,13,1613,124.1,140,0.0,0,0
2026-03-03,Tuesday,Day,8,0,SLAM,14,13647,974.8,900,0.0,0,0
2026-03-03,Tuesday,Day,9,1,Stow,8,1449,181.1,180,2.6,0,0
2026-03-03,Tuesday,Day,9,1,Pick,15,3730,248.7,240,0.6,0,0
2026-03-03,Tuesday,Day,9,1,Rebin,10,3002,300.2,300,0.8,0,0
2026-03-03,Tuesday,Day,9,1,Pack-Singles,9,2161,240.1,210,3.9,0,0
2026-03-03,Tuesday,Day,9,1,Pack-Multis,14,1833,130.9,140,2.5,0,0
2026-03-03,Tuesday,Day,9,1,SLAM,13,12062,927.8,900,3.1,0,0
2026-03-03,Tuesday,Day,10,2,Stow,13,2461,189.3,180,2.2,0,0
2026-03-03,Tuesday,Day,10,2,Pick,12,2520,210.0,240,1.3,0,0
2026-03-03,Tuesday,Day,10,2,Rebin,10,2731,273.1,300,3.7,0,0
2026-03-03,Tuesday,Day,10,2,Pack-Singles,15,3449,229.9,210,1.6,0,0
2026-03-03,Tuesday,Day,10,2,Pack-Multis,14,1961,140.1,140,1.5,0,0
2026-03-03,Tuesday,Day,10,2,SLAM,9,8325,925.0,900,1.3,0,0
2026-03-03,Tuesday,Day,11,3,Stow,9,1614,179.3,180,1.1,0,0
2026-03-03,Tuesday,Day,11,3,Pick,15,3825,255.0,240,1.2,0,0
2026-03-03,Tuesday,Day,11,3,Rebin,12,3611,300.9,300,0.9,0,0
2026-03-03,Tuesday,Day,11,3,Pack-Singles,9,1870,207.8,210,0.1,0,0
2026-03-03,Tuesday,Day,11,3,Pack-Multis,9,1305,145.0,140,1.8,0,0
2026-03-03,Tuesday,Day,11,3,SLAM,8,7138,892.2,900,2.7,0,0
2026-03-03,Tuesday,Day,12,4,Stow,14,2700,192.9,180,1.3,0,0
2026-03-03,Tuesday,Day,12,4,Pick,10,2217,221.7,240,1.7,0,0
2026-03-03,Tuesday,Day,12,4,Rebin,12,3924,327.0,300,2.8,0,0
2026-03-03,Tuesday,Day,12,4,Pack-Singles,11,2108,191.6,210,0.7,0,0
2026-03-03,Tuesday,Day,12,4,Pack-Multis,12,1656,138.0,140,0.3,0,0
2026-03-03,Tuesday,Day,12,4,SLAM,12,10419,868.2,900,0.3,0,0
2026-03-03,Tuesday,Day,13,5,Stow,12,2099,174.9,180,1.6,0,0
2026-03-03,Tuesday,Day,13,5,Pick,12,2650,220.8,240,0.5,0,0
2026-03-03,Tuesday,Day,13,5,Rebin,14,3858,275.6,300,0.0,0,0
2026-03-03,Tuesday,Day,13,5,Pack-Singles,8,1683,210.4,210,1.2,0,0
2026-03-03,Tuesday,Day,13,5,Pack-Multis,11,1670,151.8,140,0.0,0,0
2026-03-03,Tuesday,Day,13,5,SLAM,12,11980,998.3,900,0.0,0,0
2026-03-03,Tuesday,Day,14,6,Stow,11,1875,170.5,180,0.0,0,0
2026-03-03,Tuesday,Day,14,6,Pick,11,2903,263.9,240,4.0,0,0
2026-03-03,Tuesday,Day,14,6,Rebin,11,3740,340.0,300,1.3,0,0
2026-03-03,Tuesday,Day,14,6,Pack-Singles,15,3129,208.6,210,1.4,0,0
2026-03-03,Tuesday,Day,14,6,Pack-Multis,12,2053,171.1,140,2.5,0,0
2026-03-03,Tuesday,Day,14,6,SLAM,10,9610,961.0,900,0.7,0,0
2026-03-03,Tuesday,Day,15,7,Stow,11,2063,187.5,180,1.2,0,0
2026-03-03,Tuesday,Day,15,7,Pick,12,2825,235.4,240,1.7,0,0
2026-03-03,Tuesday,Day,15,7,Rebin,12,3049,254.1,300,2.2,0,0
2026-03-03,Tuesday,Day,15,7,Pack-Singles,10,1850,185.0,210,1.1,0,0
2026-03-03,Tuesday,Day,15,7,Pack-Multis,12,1566,130.5,140,2.4,0,0
2026-03-03,Tuesday,Day,15,7,SLAM,9,7711,856.8,900,0.3,0,0
2026-03-03,Tuesday,Day,16,8,Stow,11,1937,176.1,180,0.0,0,0
2026-03-03,Tuesday,Day,16,8,Pick,13,3008,231.4,240,0.0,0,0
2026-03-03,Tuesday,Day,16,8,Rebin,8,2302,287.8,300,0.9,0,0
2026-03-03,Tuesday,Day,16,8,Pack-Singles,11,2213,201.2,210,1.5,0,0
2026-03-03,Tuesday,Day,16,8,Pack-Multis,13,1611,123.9,140,0.0,0,0
2026-03-03,Tuesday,Day,16,8,SLAM,9,7933,881.4,900,3.1,0,0
2026-03-03,Tuesday,Day,17,9,Stow,11,1535,139.5,180,0.0,0,0
2026-03-03,Tuesday,Day,17,9,Pick,10,2167,216.7,240,0.6,0,0
2026-03-03,Tuesday,Day,17,9,Rebin,12,3310,275.8,300,2.8,0,0
2026-03-03,Tuesday,Day,17,9,Pack-Singles,10,1854,185.4,210,1.9,0,0
2026-03-03,Tuesday,Day,17,9,Pack-Multis,8,1081,135.1,140,1.4,0,0
2026-03-03,Tuesday,Day,17,9,SLAM,11,10340,940.0,900,0.3,0,0
2026-03-03,Tuesday,Night,19,0,Stow,9,1513,168.1,180,0.0,0,0
2026-03-03,Tuesday,Night,19,0,Pick,10,2294,229.4,240,2.0,0,0
2026-03-03,Tuesday,Night,19,0,Rebin,10,2982,298.2,300,2.9,0,0
2026-03-03,Tuesday,Night,19,0,Pack-Singles,14,2835,202.5,210,3.2,0,0
2026-03-03,Tuesday,Night,19,0,Pack-Multis,8,1018,127.2,140,0.0,0,0
2026-03-03,Tuesday,Night,19,0,SLAM,12,9642,803.5,900,1.0,0,0
2026-03-03,Tuesday,Night,20,1,Stow,15,2481,165.4,180,1.8,0,0
2026-03-03,Tuesday,Night,20,1,Pick,11,2468,224.4,240,1.2,0,0
2026-03-03,Tuesday,Night,20,1,Rebin,12,3621,301.8,300,3.7,0,0
2026-03-03,Tuesday,Night,20,1,Pack-Singles,12,2440,203.3,210,0.0,0,0
2026-03-03,Tuesday,Night,20,1,Pack-Multis,11,1526,138.7,140,2.5,0,0
2026-03-03,Tuesday,Night,20,1,SLAM,12,10667,888.9,900,1.9,0,0
2026-03-03,Tuesday,Night,21,2,Stow,14,2391,170.8,180,0.7,0,0
2026-03-03,Tuesday,Night,21,2,Pick,12,1170,97.5,240,3.6,1,0
2026-03-03,Tuesday,Night,21,2,Rebin,4,539,134.8,300,3.7,1,0
2026-03-03,Tuesday,Night,21,2,Pack-Singles,12,1184,98.7,210,1.9,1,0
2026-03-03,Tuesday,Night,21,2,Pack-Multis,14,968,69.1,140,6.4,1,0
2026-03-03,Tuesday,Night,21,2,SLAM,11,9469,860.8,900,3.6,0,0
